OrderID,Date,ProductID,CustomerID,Region,SalesAmount,Quantity,Cost
1001,2025-04-04,P102,C340,South,75048,5,56694
1002,2025-12-18,P103,C592,North,101371,4,78287
1003,2024-09-21,P104,C326,North,35667,3,26421
1004,2025-12-08,P103,C521,East,123479,5,92491
1005,2024-10-19,P102,C322,North,13668,1,10562
1006,2024-12-27,P104,C231,West,23200,2,16727
1007,2025-01-24,P103,C595,West,24494,1,21214
1008,2025-04-20,P103,C435,East,73280,3,52464
1009,2024-03-07,P101,C357,North,111246,2,99120
1010,2024-12-31,P103,C239,South,73352,3,62076
1011,2025-07-02,P102,C517,West,61730,4,52899
1012,2024-03-10,P103,C504,West,124216,5,105688
1013,2024-05-22,P102,C546,South,58218,4,41679
1014,2025-08-19,P102,C593,North,44217,3,35206
1015,2025-09-05,P103,C286,East,26121,1,21212
1016,2025-07-07,P101,C331,North,166429,3,122963
1017,2024-08-03,P101,C605,East,109157,2,96337
1018,2024-03-06,P104,C673,West,11720,1,8580
1019,2024-09-02,P104,C559,West,10278,1,8803
1020,2025-06-18,P105,C329,North,118232,4,100159
1021,2025-06-01,P102,C643,East,75962,5,60367
1022,2024-11-02,P101,C580,East,274335,5,208701
1023,2025-12-29,P105,C468,West,118142,4,85258
1024,2025-03-05,P105,C467,East,119779,4,98248
1025,2025-12-26,P103,C573,East,125846,5,104928
1026,2025-04-11,P102,C377,South,74541,5,61551
1027,2025-05-03,P104,C693,North,11337,1,9803
1028,2025-03-18,P104,C513,North,59196,5,47274
1029,2024-09-15,P103,C382,East,23509,1,17981
1030,2024-12-15,P102,C557,East,28363,2,20233
1031,2025-05-19,P101,C202,South,53995,1,45242
1032,2025-01-09,P102,C499,East,59680,4,50690
1033,2025-11-04,P104,C558,South,24912,2,19174
1034,2024-07-08,P105,C460,West,148256,5,126213
1035,2024-06-19,P104,C369,East,59066,5,49367
1036,2025-08-15,P102,C598,North,58622,4,51493
1037,2024-05-09,P103,C364,West,99368,4,80822
1038,2024-05-17,P105,C282,North,91737,3,64883
1039,2025-12-08,P101,C202,West,276014,5,246636
1040,2025-08-28,P105,C275,West,118981,4,86952
1041,2024-03-26,P101,C259,West,219187,4,171900
1042,2024-06-22,P104,C516,East,47096,4,33161
1043,2025-03-01,P104,C630,East,49635,4,39504
1044,2024-07-24,P101,C641,South,219445,4,177863
1045,2025-02-13,P105,C551,West,91738,3,65594
1046,2024-11-23,P104,C397,East,24139,2,17673
1047,2025-09-11,P102,C348,East,61724,4,53855
1048,2025-02-09,P104,C444,North,34334,3,29671
1049,2024-07-11,P105,C548,West,59699,2,47441
1050,2024-09-06,P101,C409,West,108082,2,87676
1051,2025-07-23,P105,C626,North,59441,2,42827
1052,2025-09-13,P104,C551,South,34773,3,27884
1053,2024-01-21,P104,C696,North,34873,3,31109
1054,2025-11-06,P102,C575,South,28191,2,21453
1055,2025-03-05,P103,C232,North,75983,3,54747
1056,2024-03-05,P102,C416,North,30652,2,25421
1057,2025-04-30,P105,C297,East,148100,5,113680
1058,2025-04-10,P101,C208,North,276700,5,217962
1059,2024-12-11,P102,C579,South,14672,1,12091
1060,2024-10-09,P104,C644,North,10030,1,7954
1061,2024-12-14,P105,C495,South,89310,3,65350
1062,2024-10-16,P101,C597,West,56295,1,41079
1063,2024-07-23,P102,C484,East,59202,4,47281
1064,2025-09-29,P105,C686,East,88154,3,66131
1065,2025-09-30,P105,C373,South,88677,3,67937
1066,2024-08-26,P102,C408,North,28320,2,25421
1067,2025-12-05,P105,C311,East,89279,3,66110
1068,2025-02-28,P104,C637,North,48463,4,38990
1069,2025-09-04,P105,C328,South,118902,4,96029
1070,2025-01-31,P103,C313,South,75235,3,59208
1071,2025-11-05,P105,C581,West,119178,4,101834
1072,2024-11-16,P105,C681,East,90766,3,67780
1073,2025-12-25,P105,C647,West,31979,1,27673
1074,2025-02-21,P102,C268,East,74348,5,62901
1075,2025-11-09,P102,C342,North,14392,1,12600
1076,2024-09-17,P102,C684,East,74793,5,61625
1077,2024-08-29,P101,C502,East,275668,5,200439
1078,2025-03-16,P102,C373,South,46348,3,35532
1079,2024-03-22,P105,C357,South,148441,5,107633
1080,2025-04-01,P102,C277,South,76605,5,62186
1081,2025-07-11,P105,C577,East,31598,1,23823
1082,2025-06-06,P103,C237,West,76386,3,64380
1083,2025-12-29,P102,C581,North,76581,5,55447
1084,2025-12-02,P102,C514,West,61923,4,49277
1085,2025-12-09,P103,C327,North,50415,2,37708
1086,2024-02-25,P101,C487,West,53024,1,46930
1087,2024-04-03,P104,C285,West,37337,3,30879
1088,2025-05-31,P103,C601,East,24652,1,18399
1089,2024-05-13,P103,C490,North,48893,2,41840
1090,2024-04-17,P102,C287,West,45617,3,31968
1091,2025-05-05,P105,C359,North,151475,5,131370
1092,2025-07-09,P101,C615,North,275207,5,242532
1093,2025-09-12,P102,C263,South,44245,3,35165
1094,2024-05-12,P102,C288,North,16554,1,14397
1095,2025-02-09,P103,C420,North,51484,2,39335
1096,2024-01-03,P105,C641,North,29891,1,23036
1097,2025-10-03,P102,C323,East,13843,1,12074
1098,2025-09-29,P105,C330,South,88902,3,63886
1099,2024-09-12,P105,C359,South,91603,3,65493
1100,2025-08-19,P105,C237,West,91856,3,70946
1101,2024-08-17,P102,C466,East,43733,3,35844
1102,2025-08-05,P102,C403,North,16101,1,13529
1103,2025-01-17,P105,C425,North,89444,3,69176
1104,2024-02-04,P105,C327,West,120744,4,99840
1105,2025-07-08,P104,C270,South,37479,3,27583
1106,2024-02-09,P101,C444,South,109197,2,91341
1107,2025-10-08,P105,C481,East,118790,4,93600
1108,2025-06-20,P101,C638,East,108789,2,84076
1109,2025-07-10,P105,C599,East,88996,3,63332
1110,2025-08-25,P104,C400,South,12039,1,8807
1111,2025-06-03,P101,C669,East,164607,3,120609
1112,2024-10-04,P102,C685,South,58378,4,41490
1113,2025-06-22,P101,C529,North,221223,4,158356
1114,2024-10-19,P102,C600,North,76305,5,60023
1115,2024-07-08,P101,C581,East,56474,1,48691
1116,2025-05-19,P103,C225,North,99116,4,79520
1117,2024-02-14,P103,C562,South,124124,5,93019
1118,2025-02-28,P101,C372,West,164377,3,123045
1119,2025-05-21,P104,C681,South,25822,2,20003
1120,2024-07-24,P102,C371,South,44846,3,35439
1121,2025-11-12,P102,C671,South,61516,4,44195
1122,2025-11-22,P102,C346,West,59739,4,48488
1123,2024-10-25,P105,C606,West,30064,1,23364
1124,2025-09-12,P101,C427,South,108585,2,80980
1125,2024-08-14,P103,C307,West,101270,4,75583
1126,2024-03-08,P104,C531,East,61730,5,51219
1127,2025-12-21,P103,C293,West,75105,3,58933
1128,2024-06-21,P104,C576,South,58698,5,49583
1129,2024-05-05,P101,C609,North,53703,1,46949
1130,2024-11-29,P102,C530,East,59014,4,44881
1131,2024-03-03,P104,C661,West,25817,2,20323
1132,2025-10-24,P102,C693,West,30622,2,25676
1133,2024-11-06,P103,C581,North,23334,1,18449
1134,2024-12-12,P102,C638,East,13613,1,10465
1135,2025-12-10,P103,C692,East,125241,5,112107
1136,2025-09-04,P105,C590,East,29890,1,23837
1137,2024-03-07,P102,C686,East,16690,1,11759
1138,2025-04-17,P105,C299,North,59540,2,52647
1139,2025-05-05,P101,C406,East,273118,5,216488
1140,2024-10-08,P101,C325,East,164183,3,132887
1141,2025-04-29,P101,C383,South,166108,3,140705
1142,2025-02-16,P101,C515,West,109554,2,98404
1143,2024-04-15,P101,C376,East,220505,4,161796
1144,2024-12-16,P101,C283,North,109897,2,84358
1145,2025-08-30,P105,C467,East,119221,4,97862
1146,2025-12-09,P104,C300,West,22185,2,19454
1147,2025-05-11,P101,C493,East,110480,2,79198
1148,2024-10-04,P102,C283,West,60806,4,52087
1149,2025-10-04,P102,C294,South,45645,3,33368
1150,2025-01-25,P103,C281,North,48093,2,42612
1151,2025-04-20,P104,C530,North,36433,3,26353
1152,2025-10-02,P104,C665,South,11281,1,10059
1153,2025-10-07,P102,C695,North,28848,2,24050
1154,2024-03-23,P101,C655,South,220205,4,161631
1155,2024-02-08,P102,C308,South,76859,5,54269
1156,2024-04-01,P104,C697,East,11358,1,10129
